,Title,Link,Tags,Stats
0,Mother of Learning,https://www.royalroad.com/fiction/21220/mother-of-learning,"['Time Loop', 'Adventure', 'Fantasy', 'Mystery', 'Magic']","['21,969 Followers', 'Rating: 4.84 out of 5', '2,932 Pages', '18,565,022 Views', '109 Chapters', 'Thursday, July 6, 2023 5:47:41 PM']"
1,Super Supportive ,https://www.royalroad.com/fiction/63759/super-supportive,"['LitRPG', 'Progression', 'Super Heroes', 'Psychological', 'Male Lead', 'Adventure', 'Fantasy', 'Sci-fi', 'Slice of Life', 'School Life', 'Magic', 'Low Fantasy', 'First Contact']","['22,937 Followers', 'Rating: 4.84 out of 5', '2,698 Pages', '10,848,659 Views', '141 Chapters', 'Friday, May 10, 2024 1:31:18 AM']"
2,The Perfect Run,https://www.royalroad.com/fiction/36735/the-perfect-run,"['Time Loop', 'Anti-Hero Lead', 'Super Heroes', 'Comedy', 'Male Lead', 'Adventure', 'Sci-fi', 'Mystery', 'Strong Lead', 'Time Travel', 'Genetically Engineered ']","['15,555 Followers', 'Rating: 4.81 out of 5', '1,686 Pages', '10,811,820 Views', '130 Chapters', 'Saturday, October 16, 2021 2:01:38 PM']"
3,Super Minion,https://www.royalroad.com/fiction/21410/super-minion,"['Villainous Lead', 'Super Heroes', 'Non-Human Lead', 'Sci-fi', 'Secret Identity', 'Action', 'Technologically Engineered', 'Artificial Intelligence']","['17,070 Followers', 'Rating: 4.8 out of 5', '1,052 Pages', '6,001,965 Views', '62 Chapters', 'Tuesday, January 2, 2024 9:00:12 PM']"
4,The Game at Carousel: A Horror Movie LitRPG,https://www.royalroad.com/fiction/65629/the-game-at-carousel-a-horror-movie-litrpg,"['LitRPG', 'Urban Fantasy', 'Progression', 'Strategy', 'Male Lead', 'Adventure', 'Fantasy', 'Horror', 'Mystery', 'Supernatural', 'Strong Lead', 'Magic', 'GameLit']","['8,937 Followers', 'Rating: 4.82 out of 5', '1,468 Pages', '2,986,141 Views', '151 Chapters', 'Friday, May 10, 2024 3:33:50 AM']"
5,Cultist of Cerebon - Litrpg/Isekai,https://www.royalroad.com/fiction/73112/cultist-of-cerebon-litrpgisekai,"['LitRPG', 'Portal Fantasy / Isekai', 'Ruling Class', 'Male Lead', 'Slice of Life', 'Action', 'Adventure', 'Drama', 'Fantasy', 'Reincarnation', 'Magic']","['11,486 Followers', 'Rating: 4.81 out of 5', '818 Pages', '1,221,464 Views', '32 Chapters', 'Thursday, May 9, 2024 3:57:22 AM']"
6,Ghost in the City: Cyberpunk Gamer SI,https://www.royalroad.com/fiction/62125/ghost-in-the-city-cyberpunk-gamer-si,"['LitRPG', 'Reincarnation', 'Female Lead', 'Sci-fi', 'Slice of Life', 'Action', 'Adventure', 'Cyberpunk', 'Dystopia']","['10,565 Followers', 'Rating: 4.8 out of 5', '2,391 Pages', '5,651,668 Views', '182 Chapters', 'Thursday, May 2, 2024 5:00:31 PM']"
7,Magical Girl Gunslinger,https://www.royalroad.com/fiction/48402/magical-girl-gunslinger,"['LitRPG', 'Urban Fantasy', 'Super Heroes', 'Female Lead', 'Drama', 'Action', 'Adventure', 'Fantasy', 'School Life', 'Supernatural', 'Magic', 'Low Fantasy', 'Mythos', 'Soft Sci-fi']","['12,169 Followers', 'Rating: 4.79 out of 5', '813 Pages', '2,089,426 Views', '37 Chapters', 'Monday, December 25, 2023 4:21:43 PM']"
8,Pale Lights,https://www.royalroad.com/fiction/65058/pale-lights,"['Multiple Lead Characters', 'Adventure', 'Fantasy', 'Horror', 'Mystery', 'Supernatural', 'Low Fantasy', 'Mythos']","['3,930 Followers', 'Rating: 4.84 out of 5', '2,448 Pages', '960,021 Views', '89 Chapters', 'Friday, May 10, 2024 4:00:09 PM']"
9,Beware Of Chicken,https://www.royalroad.com/fiction/39408/beware-of-chicken,"['Portal Fantasy / Isekai', 'Xianxia', 'Comedy', 'Male Lead', 'Adventure', 'Fantasy', 'Romance', 'Reincarnation', 'Martial Arts']","['32,135 Followers', 'Rating: 4.77 out of 5', '2,006 Pages', '16,816,636 Views', '215 Chapters', 'Tuesday, March 12, 2024 12:10:50 AM']"
10,Zenith of Sorcery,https://www.royalroad.com/fiction/71045/zenith-of-sorcery,"['Progression', 'Strong Lead', 'Fantasy', 'Magic']","['16,138 Followers', 'Rating: 4.8 out of 5', '254 Pages', '695,314 Views', '10 Chapters', 'Friday, April 5, 2024 1:57:49 AM']"
11,The Last Orellen,https://www.royalroad.com/fiction/46901/the-last-orellen,"['Reincarnation', 'Progression', 'Strategy', 'Male Lead', 'Secret Identity', 'Action', 'Adventure', 'Fantasy', 'Magic', 'High Fantasy']","['12,366 Followers', 'Rating: 4.79 out of 5', '714 Pages', '3,536,857 Views', '50 Chapters', 'Sunday, August 27, 2023 4:32:08 AM']"
12,A Journey of Black and Red,https://www.royalroad.com/fiction/26675/a-journey-of-black-and-red,"['Urban Fantasy', 'Villainous Lead', 'Female Lead', 'Action', 'Adventure', 'Fantasy', 'Historical']","['12,394 Followers', 'Rating: 4.77 out of 5', '4,585 Pages', '9,416,949 Views', '239 Chapters', 'Thursday, September 7, 2023 6:55:26 AM']"
13,Blood & Fur,https://www.royalroad.com/fiction/70234/blood-fur,"['Progression', 'Anti-Hero Lead', 'War and Military', 'Psychological', 'Male Lead', 'Adventure', 'Fantasy', 'Romance', 'Supernatural', 'Magic', 'Strategy', 'Ruling Class', 'Dystopia']","['6,826 Followers', 'Rating: 4.82 out of 5', '1,146 Pages', '895,501 Views', '50 Chapters', 'Tuesday, May 7, 2024 3:01:41 PM']"
14,Soul Guardian,https://www.royalroad.com/fiction/75175/soul-guardian,"['Urban Fantasy', 'Anti-Hero Lead', 'Comedy', 'Multiple Lead Characters', 'Slice of Life', 'Fantasy', 'Romance', 'Satire', 'School Life', 'Supernatural', 'Male Lead', 'Strong Lead', 'Non-Human Lead', 'Magic', 'Mythos']","['2,817 Followers', 'Rating: 4.82 out of 5', '241 Pages', '414,821 Views', '53 Chapters', 'Friday, May 10, 2024 3:33:17 AM']"
15,Downtown Druid ,https://www.royalroad.com/fiction/79173/downtown-druid,"['Progression', 'Anti-Hero Lead', 'Strategy', 'Male Lead', 'Strong Lead', 'Action', 'Adventure', 'Drama', 'Fantasy', 'High Fantasy', 'Villainous Lead']","['8,174 Followers', 'Rating: 4.8 out of 5', '484 Pages', '1,385,566 Views', '80 Chapters', 'Thursday, May 9, 2024 12:16:01 PM']"
16,BOC Alternate Universe: Soaring Heaven's Isle,https://www.royalroad.com/fiction/76677/boc-alternate-universe-soaring-heavens-isle,"['Reincarnation', 'Xianxia', 'Comedy', 'Non-Human Lead', 'Slice of Life', 'Adventure', 'Fantasy', 'Romance', 'Martial Arts', 'Harem', 'Male Lead']","['5,683 Followers', 'Rating: 4.82 out of 5', '160 Pages', '388,794 Views', '17 Chapters', 'Thursday, December 28, 2023 1:00:05 AM']"
17,The Butcher of Gadobhra,https://www.royalroad.com/fiction/43318/the-butcher-of-gadobhra,"['Virtual Reality', 'Progression', 'Comedy', 'Multiple Lead Characters', 'Slice of Life', 'Adventure', 'Fantasy', 'Satire', 'LitRPG', 'Low Fantasy', 'Artificial Intelligence']","['7,012 Followers', 'Rating: 4.78 out of 5', '3,526 Pages', '8,565,184 Views', '407 Chapters', 'Sunday, May 5, 2024 8:34:15 PM']"
18,Sublight Drive (Star Wars),https://www.royalroad.com/fiction/72498/sublight-drive-star-wars,"['Reincarnation', 'Anti-Hero Lead', 'Space Opera', 'War and Military', 'Sci-fi', 'Strategy', 'Soft Sci-fi']","['6,880 Followers', 'Rating: 4.78 out of 5', '1,022 Pages', '1,252,324 Views', '56 Chapters', 'Sunday, May 5, 2024 3:00:15 PM']"
19,Changeling,https://www.royalroad.com/fiction/75345/changeling,"['Urban Fantasy', 'Dungeon', 'Female Lead', 'Contemporary', 'Action', 'Adventure', 'Fantasy', 'Progression']","['5,831 Followers', 'Rating: 4.79 out of 5', '863 Pages', '783,982 Views', '50 Chapters', 'Wednesday, May 8, 2024 3:09:52 PM']"
